text_id:ID,original_text,:LABEL
ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,這是一筆關於 F客戶 的維護紀錄。 處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00。 狀態描述 (Description): splunk_銀行處12月月維護 處置動作 (Action): 1.授權用量 : 建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB 2.伺服器效能 : 無 3.系統優化建議 : 無 4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14 現行版本近期被掃出弱點，建議進行升版 5.問題追蹤：無,Text
97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,"這是一筆關於 B客戶 的維護紀錄。 處理工程師為 A人員,C人員 進行時間為 2026/01/07 13:30 至 2026/01/07 17:30。 狀態描述 (Description): Splunk每週onsite 處置動作 (Action): A部門 1.Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。 2.DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。 3.PA報表寄送異常檢查 已確認splunk有寄出報告並記錄於cim_modactions索引中，目前以請A同事向IT部門確認exchange是否有收到splunk報告。 B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。 2.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。 3.LDAP設定 已完成splunk LDAP驗證設定 代辦事項： 1.Management搜尋異常 2.BTDC2 問題處理 3.DEP02 root帳號使用確認 4.新增Splunk Add-on for Google Cloud Platform的sourcetype 5.Tenable API App串接 6.Centos作業系統升級(評估中)",Text
093f1a94dab23b2eaecc75d09c3a05b9b1fbdd41beaeb990c1f789c472917052,這是一筆關於 C客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2026/01/05 13:30 至 2026/01/05 17:30。 狀態描述 (Description): Splunk駐點服務202601第一周(2026/1/5) 處置動作 (Action): 本周工作項目如下: 1.FWD02磁碟用量異常處理 今日FWD02磁碟用量達到超過90%，目前分析為以下三個原因導致 estreamer 資料暴增 audit.log 持續累積（FCB147 的 keep_logs 設定導致永不刪除） /var/log/messages-20251214 單一檔案達 148GB 目前處理方式 estreamer 處理 移除 rsyslog 轉送設定（減少資料流入） 調整 clean.sh 資料留存區間（定期清理舊資料，原為留存12小時，現改為6小時） audit.log 處理 手動刪除 audit 資料（釋放空間） 目前還沒有設定排程刪除，持續觀察中 messages 暴增處理 刪除 148GB 的 messages-20251214 檔案（立即釋放空間） 設定 logrotate 排程監控： 每 2 小時檢查一次（/etc/cron.d/logrotate-syslog） 超過 1G自動 rotate 保留 30 個檔案 自動壓縮 待辦事項: Cybereyes API 介接 (進行中),Text
5f5c77fa21193fb594fdf4c0fd90749e32db698df0c3cb3df0a6caaf325d1225,這是一筆關於 C客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2025/12/30 13:30 至 2025/12/30 17:30。 狀態描述 (Description): Splunk駐點服務202512第五周(2025/12/30) 處置動作 (Action): 本周工作項目如下: 1.更新GeoDB 2.<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report> 單獨發送m365傳輸紀錄 3.FWD02 CPU及磁碟用量異常 今日發現自12/9左右開始FWD02的CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%，其中estreamer資料占用約109G 推測原因為12/9執行FCB腳本時加入了大量稽核規則，且會將稽核日誌轉發到 /var/log/secure，導致estreamer資料量增加 目前已關閉日誌轉發設定，並將estreamer 資料清理排程調整為僅留存6小時資料 (原為12小時)，減少占用磁碟空間 待辦事項: 1. SSH Server 漏洞修補,Text
bf1275a6e98efb349f71433ebd43268b074ce7ad69618f6edd2103acd191f180,這是一筆關於 C客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2025/12/23 13:30 至 2025/12/23 17:30。 狀態描述 (Description): Splunk駐點服務202512第四周(2025/12/23) 處置動作 (Action): 本周工作項目如下: 1.更新GeoDB 2.GitLab漏洞修補 原先版本18.5.2受到漏洞CVE-2024-9183及CVE-2025-12571影響，故升版到18.5.4 3.2026年國定假日列表更新 4.Cybereyes介接套件建置 (進行中) 待辦事項: 1. SSH Server 漏洞修補,Text
8aa4c4d2dbee23e988d2dda46c4c08fe0f58ab3ac80d02a14244ac1658070e0e,這是一筆關於 C客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2026/01/02 17:33 至 2026/01/02 17:35。 狀態描述 (Description): Splunk SIEM(12)月維護.DM20240200+DN20240393 處置動作 (Action): 1.授權用量 :正常 - 授權量 : 150 GB - 平均授權使用量 : 139.07 GB 2.伺服器效能 : 異常 - 自12/9左右開始CPU及磁碟用量明顯上升且已持續兩周，推測為FCB設定導致，目前已將設定還原，並持續觀察 3.系統優化建議 :無 4.版本更新 : 暫不更新 - 當前版本: 9.3.8 / 2025.11.14 - 最新版本: 10.0.2 / 2025.11.14 - 因目前版本並未有重大弱點，也未受相關BUG，故建議暫不升版,Text
e005d3c485be874d0c1a48ae20d4e83444ab7755e6990c6ab14e76e3ca17adb3,這是一筆關於 D客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2025/12/19 13:30 至 2025/12/19 16:00。 狀態描述 (Description): Splunk 202510-12季維護 處置動作 (Action): 本季維護報表重點如下： 1. 授權用量：正常 - 授權量：131 GB - 平均授權用量：117.92 GB 2. 伺服器效能：正常 3. 系統優化建議：無 4. 版本更新：暫不更新 - 當前Splunk版本：9.3.8 / 2025.11.14 - 最新Splunk版本：10.0.2/ 2025.11.14 - 目前版本無重大弱點，也未受相關BUG，故建議暫不升版 5.問題追蹤：無,Text
c275dede5e7db130818e685b73b92462f9e6f5222ad11450fa881c5e5ee6941a,這是一筆關於 D客戶 的維護紀錄。 處理工程師為 B人員 進行時間為 2025/11/26 13:30 至 2025/11/26 14:30。 狀態描述 (Description): pice_logs 缺漏處理 處置動作 (Action): 先前提到pice_logs有缺少檔案的狀況 經查原因為檔案中的log太過相似，splunk會自動判定為相同的log而不重複收容 今日已添加設定，讓splunk監控所有檔案即使內容相似 新增設定後已完整收容所有檔案之資料,Text
0fbcf441d20e5405043abf9f0acb74564aa3233edd142932887bb6ee63f7b7ad,"這是一筆關於 C客戶 的維護紀錄。 處理工程師為 C人員,B人員 進行時間為 2025/03/14 09:00 至 2025/03/14 14:00。 狀態描述 (Description): Splunk SH 異常hanging 處置動作 (Action): 今日早上接到您緊急報修，隨即到場進行調查，以下說明： 異常狀況：從這周開始凌晨1:00時CPU和記憶體都有突然爆增現象，今日甚至導致服務異常，今日調查並未發現root cause。 暫時解決方法： 1. 重啟splunk後目前服務後已恢復正常 2. 根據原廠建議，新增Splunk參數避免搜尋不會因為記憶體不足時就hanging 3. 刪除上周末駐點時於SH新增的splunk microsoft套件 4. 提供原廠diag並開立CASE請求協助 預計下周一會再次到場確認目前狀況並持續追蹤原廠協助。",Text
fd77a74373eda9ae081ddd381957fefb86ea733c04a51328a8ec2ebac1a82d81,這是一筆關於 A客戶 的維護紀錄。 處理工程師為 C人員 進行時間為 2025/03/28 09:00 至 2025/03/28 21:00。 狀態描述 (Description): Splunk 版本升級 9.3.1 -> 9.3.3 處置動作 (Action): 針對UAT / Production / PIMS 共8台進行調整，調整內容如下: 1. 重新安裝Splunk，設定FIPS mode=0。 2. 覆蓋原先設定檔 3. 升版 除了PIMS search head遇到dbconenct異常問題，其他皆成功升版。 後續將進行確認。,Text
